조사년도,대학구분,학교구분,지역,설립구분,학교명,본분교명,단과대학,학부·과(전공)명,주야구분,학과특성,학과상태,표준대계열,표준중계열,표준소계열,대학 자체 대개열,수업연한,학위과정
2020,전문대학,기능대학,전북,사립,한국폴리텍 V 대학 익산캠퍼스,본교,단과대구분없음,컴퓨터응용기계과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,전문학사
2020,전문대학,기능대학,대구,사립,한국폴리텍 VI 대학 대구캠퍼스,본교,단과대구분없음,컴퓨터응용기계과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,전문학사
2020,전문대학,기능대학,경남,사립,한국폴리텍 VII 대학 창원캠퍼스,본교,단과대구분없음,컴퓨터응용기계설계과,주간,일반과정,기존,공학계열,기계,기계공학,공학계열,2년,전문학사
2020,대학,대학교,대전,사립,한남대학교,본교,공과대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,강원,사립,한림대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,대전,국립,한밭대학교,본교,정보기술대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,서울,사립,한성대학교 일반대학원,본교,단과대구분없음,정보컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,3년,박사
2020,대학,대학교,경기,사립,한신대학교,본교,IT대학,컴퓨터공학부,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,경기,사립,한신대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,석사
2020,대학원,일반대학원,서울,사립,한양대학교 대학원,본교,단과대구분없음,전자컴퓨터통신공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,경기,사립,한양대학교(ERICA),분교,소프트웨어융합대학,컴퓨터전공,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,경기,사립,한양대학교(ERICA) 대학원,분교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,"석사,박사, 석박사통합"
2020,대학,대학교,경기,사립,협성대학교,본교,이공대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,전문대학,전문대학(3년제),충남,사립,혜전대학교,본교,단과대구분없음,컴퓨터소프트웨어과,주간,일반과정,변경,공학계열,전기·전자·컴퓨터,정보·통신공학,공학계열,2년,전문학사
2020,대학,대학교,광주,사립,호남대학교,본교,ICT융합대학,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,4년,학사
2020,대학원,일반대학원,광주,사립,호남대학교 일반대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,2년,"석사, 박사"
2020,대학원,일반대학원,충남,사립,호서대학교 대학원,본교,단과대구분없음,컴퓨터공학과,주간,일반과정,기존,공학계열,전기·전자·컴퓨터,전산학·컴퓨터공학,공학계열,3년,"석사, 박사"
2020,대학,대학교,서울,사립,홍익대학교,본교,공과대학,정보·컴퓨터공학부 산업공학전공,주간,일반과정,기존,공학계열,산업·안전,산업공학,공학계열,4년,학사
